0.2832	0.3251	0.3720	0.4240	0.4816	0.5450	0.6144	0.6901	0.7723	0.8609	0.9562	1.0579	1.1659	1.2799	1.3996	1.5245	1.6538	1.7868	1.9225	2.0599	2.1979	2.3349	2.4697	2.6006	2.7259	2.8439	2.9528	3.0508	3.136	3.2066	3.261	3.2974	3.3144	3.3105	3.2847	3.236	3.1637	3.0674	2.947	2.8027	2.635	2.4447	2.233	2.0013	1.7515	1.4855	1.2056	0.9144	0.6145	0.3087	0	0.3087	0.6145	0.9144	1.2056	1.4855	1.7515	2.0013	2.233	2.4447	2.635	2.8027	2.947	3.0674	3.1637	3.236	3.2847	3.3105	3.3144	3.2974	3.261	3.2066	3.136	3.0508	2.9528	2.8439	2.7259	2.6006	2.4697	2.3349	2.1979	2.0599	1.9225	1.7868	1.6538	1.5245	1.3996	1.2799	1.1659	1.0579	0.9562	0.8609	0.7723	0.6901	0.6144	0.5450	0.4816	0.4240	0.3720	0.3251	0.2832
0.3213	0.3690	0.4221	0.4812	0.5465	0.6184	0.6972	0.7831	0.8763	0.9769	1.085	1.2004	1.323	1.4524	1.5882	1.7299	1.8766	2.0275	2.1815	2.3375	2.494	2.6496	2.8025	2.951	3.0932	3.2271	3.3506	3.4618	3.5585	3.6387	3.7003	3.7417	3.7609	3.7566	3.7273	3.672	3.590	3.4807	3.3441	3.1803	2.990	2.7741	2.5338	2.271	1.9875	1.6856	1.3681	1.0376	0.6973	0.3503	0	0.3503	0.6973	1.0376	1.3681	1.6856	1.9875	2.271	2.5338	2.7741	2.990	3.1803	3.3441	3.4807	3.590	3.672	3.7273	3.7566	3.7609	3.7417	3.7003	3.6387	3.5585	3.4618	3.3506	3.2271	3.0932	2.951	2.8025	2.6496	2.494	2.3375	2.1815	2.0275	1.8766	1.7299	1.5882	1.4524	1.323	1.2004	1.085	0.9769	0.8763	0.7831	0.6972	0.6184	0.5465	0.4812	0.4221	0.3690	0.3213
0.3635	0.4173	0.4774	0.5442	0.6181	0.6995	0.7886	0.8858	0.9912	1.105	1.2272	1.3578	1.4964	1.6428	1.7965	1.9567	2.1226	2.2933	2.4676	2.644	2.821	2.9969	3.1699	3.3379	3.4987	3.6502	3.7899	3.9157	4.025	4.1157	4.1855	4.2322	4.254	4.2491	4.216	4.1535	4.0607	3.9371	3.7826	3.5973	3.382	3.1378	2.8661	2.5687	2.248	1.9066	1.5474	1.1736	0.7887	0.3963	0	0.3963	0.7887	1.1736	1.5474	1.9066	2.248	2.5687	2.8661	3.1378	3.382	3.5973	3.7826	3.9371	4.0607	4.1535	4.216	4.2491	4.254	4.2322	4.1855	4.1157	4.025	3.9157	3.7899	3.6502	3.4987	3.3379	3.1699	2.9969	2.821	2.644	2.4676	2.2933	2.1226	1.9567	1.7965	1.6428	1.4964	1.3578	1.2272	1.105	0.9912	0.8858	0.7886	0.6995	0.6181	0.5442	0.4774	0.4173	0.3635
0.4098	0.4705	0.5383	0.6136	0.6969	0.7886	0.8891	0.9987	1.1176	1.2459	1.3837	1.5309	1.6872	1.8523	2.0255	2.2061	2.3933	2.5857	2.7822	2.9811	3.1807	3.379	3.574	3.7634	3.9448	4.1155	4.2731	4.4149	4.5382	4.6405	4.7191	4.7718	4.7964	4.7908	4.7535	4.683	4.5784	4.4391	4.2648	4.056	3.8132	3.5378	3.2315	2.8962	2.5346	2.1497	1.7447	1.3233	0.8893	0.4468	0	0.4468	0.8893	1.3233	1.7447	2.1497	2.5346	2.8962	3.2315	3.5378	3.8132	4.056	4.2648	4.4391	4.5784	4.683	4.7535	4.7908	4.7964	4.7718	4.7191	4.6405	4.5382	4.4149	4.2731	4.1155	3.9448	3.7634	3.574	3.379	3.1807	2.9811	2.7822	2.5857	2.3933	2.2061	2.0255	1.8523	1.6872	1.5309	1.3837	1.2459	1.1176	0.9987	0.8891	0.7886	0.6969	0.6136	0.5383	0.4705	0.4098
0.4606	0.5288	0.6050	0.6897	0.7833	0.8864	0.9993	1.1224	1.256	1.4003	1.5552	1.7206	1.8963	2.0818	2.2764	2.4795	2.6898	2.9061	3.1269	3.3504	3.5747	3.7977	4.0169	4.2297	4.4335	4.6254	4.8026	4.9619	5.1005	5.2154	5.3038	5.3631	5.3907	5.3844	5.3424	5.2632	5.1456	4.989	4.7932	4.5585	4.2857	3.9762	3.6318	3.255	2.8487	2.416	1.9609	1.4872	0.9994	0.5021	0	0.5021	0.9994	1.4872	1.9609	2.416	2.8487	3.255	3.6318	3.9762	4.2857	4.5585	4.7932	4.989	5.1456	5.2632	5.3424	5.3844	5.3907	5.3631	5.3038	5.2154	5.1005	4.9619	4.8026	4.6254	4.4335	4.2297	4.0169	3.7977	3.5747	3.3504	3.1269	2.9061	2.6898	2.4795	2.2764	2.0818	1.8963	1.7206	1.5552	1.4003	1.256	1.1224	0.9993	0.8864	0.7833	0.6897	0.6050	0.5288	0.4606
0.5160	0.5925	0.6778	0.7726	0.8775	0.9930	1.1195	1.2575	1.4071	1.5687	1.7422	1.9276	2.1244	2.3322	2.5503	2.7778	3.0134	3.2557	3.503	3.7535	4.0048	4.2546	4.5001	4.7386	4.9669	5.1819	5.3803	5.5588	5.7141	5.8428	5.9419	6.0082	6.0392	6.0322	5.9852	5.8964	5.7647	5.5892	5.3699	5.1069	4.8013	4.4545	4.0688	3.6466	3.1914	2.7067	2.1968	1.6661	1.1197	0.5625	0	0.5625	1.1197	1.6661	2.1968	2.7067	3.1914	3.6466	4.0688	4.4545	4.8013	5.1069	5.3699	5.5892	5.7647	5.8964	5.9852	6.0322	6.0392	6.0082	5.9419	5.8428	5.7141	5.5588	5.3803	5.1819	4.9669	4.7386	4.5001	4.2546	4.0048	3.7535	3.503	3.2557	3.0134	2.7778	2.5503	2.3322	2.1244	1.9276	1.7422	1.5687	1.4071	1.2575	1.1195	0.9930	0.8775	0.7726	0.6778	0.5925	0.5160
0.5762	0.6616	0.7569	0.8628	0.9799	1.1089	1.2502	1.4042	1.5714	1.7518	1.9456	2.1526	2.3723	2.6044	2.848	3.102	3.3651	3.6357	3.9119	4.1916	4.4723	4.7512	5.0254	5.2917	5.5466	5.7867	6.0083	6.2077	6.3811	6.5248	6.6355	6.7096	6.7441	6.7363	6.6838	6.5847	6.4376	6.2416	5.9967	5.703	5.3617	4.9745	4.5437	4.0723	3.5639	3.0226	2.4532	1.8606	1.2504	0.6282	0	0.6282	1.2504	1.8606	2.4532	3.0226	3.5639	4.0723	4.5437	4.9745	5.3617	5.703	5.9967	6.2416	6.4376	6.5847	6.6838	6.7363	6.7441	6.7096	6.6355	6.5248	6.3811	6.2077	6.0083	5.7867	5.5466	5.2917	5.0254	4.7512	4.4723	4.1916	3.9119	3.6357	3.3651	3.102	2.848	2.6044	2.3723	2.1526	1.9456	1.7518	1.5714	1.4042	1.2502	1.1089	0.9799	0.8628	0.7569	0.6616	0.5762
0.6414	0.7365	0.8426	0.9604	1.0908	1.2344	1.3916	1.5631	1.7492	1.9501	2.1658	2.3961	2.6408	2.8991	3.1703	3.453	3.7459	4.0471	4.3546	4.6659	4.9783	5.2888	5.594	5.8904	6.1743	6.4416	6.6882	6.9101	7.1031	7.2632	7.3863	7.4688	7.5072	7.4985	7.4401	7.3298	7.166	6.9479	6.6752	6.3483	5.9684	5.5374	5.0578	4.5331	3.9672	3.3647	2.7308	2.0712	1.3919	0.6993	0	0.6993	1.3919	2.0712	2.7308	3.3647	3.9672	4.5331	5.0578	5.5374	5.9684	6.3483	6.6752	6.9479	7.166	7.3298	7.4401	7.4985	7.5072	7.4688	7.3863	7.2632	7.1031	6.9101	6.6882	6.4416	6.1743	5.8904	5.594	5.2888	4.9783	4.6659	4.3546	4.0471	3.7459	3.453	3.1703	2.8991	2.6408	2.3961	2.1658	1.9501	1.7492	1.5631	1.3916	1.2344	1.0908	0.9604	0.8426	0.7365	0.6414
0.7117	0.8172	0.9349	1.0657	1.2104	1.3697	1.5442	1.7345	1.9409	2.1638	2.4031	2.6587	2.9302	3.2169	3.5177	3.8314	4.1564	4.4907	4.8319	5.1773	5.5239	5.8684	6.2071	6.536	6.851	7.1476	7.4213	7.6675	7.8816	8.0592	8.1958	8.2874	8.330	8.3204	8.2555	8.1331	7.9514	7.7094	7.4068	7.0441	6.6225	6.1443	5.6122	5.0299	4.402	3.7334	3.0301	2.2982	1.5444	0.7759	0	0.7759	1.5444	2.2982	3.0301	3.7334	4.402	5.0299	5.6122	6.1443	6.6225	7.0441	7.4068	7.7094	7.9514	8.1331	8.2555	8.3204	8.330	8.2874	8.1958	8.0592	7.8816	7.6675	7.4213	7.1476	6.851	6.536	6.2071	5.8684	5.5239	5.1773	4.8319	4.4907	4.1564	3.8314	3.5177	3.2169	2.9302	2.6587	2.4031	2.1638	1.9409	1.7345	1.5442	1.3697	1.2104	1.0657	0.9349	0.8172	0.7117
0.7872	0.9039	1.0341	1.1787	1.3387	1.5149	1.7079	1.9184	2.1468	2.3933	2.658	2.9407	3.241	3.558	3.8908	4.2378	4.5972	4.9669	5.3443	5.7264	6.1098	6.4908	6.8654	7.2292	7.5776	7.9056	8.2083	8.4807	8.7175	8.9139	9.0651	9.1663	9.2135	9.2028	9.1311	8.9957	8.7947	8.5271	8.1924	7.7912	7.3249	6.7959	6.2074	5.5634	4.8688	4.1294	3.3514	2.5419	1.7082	0.8582	0	0.8582	1.7082	2.5419	3.3514	4.1294	4.8688	5.5634	6.2074	6.7959	7.3249	7.7912	8.1924	8.5271	8.7947	8.9957	9.1311	9.2028	9.2135	9.1663	9.0651	8.9139	8.7175	8.4807	8.2083	7.9056	7.5776	7.2292	6.8654	6.4908	6.1098	5.7264	5.3443	4.9669	4.5972	4.2378	3.8908	3.558	3.241	2.9407	2.658	2.3933	2.1468	1.9184	1.7079	1.5149	1.3387	1.1787	1.0341	0.9039	0.7872
